store,product_code,price_euros,cpu,cores,threads,cpu_benchmk,ram_type,ram_gb,storage_gb,storage_type,screen_in,screen_type,display_res,display_cat,weight_kgr,battery_wh,usb_a_b,usb_c,hdmi,wireless_comm,bluetooth,webcam,os,model,model_
public,2063595,799,Intel Core i7-13620H,10,16,24141,DDR5,32,1024,NVMe,15.6,IPS,1920x1080,FHD,1.8,53,2,2,1,Wi-Fi 6,v5,1080p,win 11 home,"Acer Aspire Go 15 AG15-71P-79H9 15.6"" FHD TN","Acer Aspire Go 15 AG15-71P-79H9 15.6"""
public,1970095,1049,Qualcomm Snapdragon X Elite,12,12,22843,LPDDR5x,16,1024,NVMe,14,IPS,2240x1400,QHD,1.34,59,1,2,0,Wi-Fi 6e,v5.3,2160p,win 11 home,HP Omnibook 14-FE0001NV 14'' QHD IPS,HP Omnibook 14-FE0001NV 14''
public,1965129,1399,Intel Core i7-1255U,10,12,13206,DDR5,16,512,NVMe,13,IPS,1920x1200,FHD+,1.27,51,2,2,1,Wi-Fi 6e,v5.2,1440p,win 11 pro,HP EliteBook 830 13.3'' WUXGA IPS,HP EliteBook 830 13.3''
public,1957374,1499,Intel Core Ultra 7-155U,12,14,16326,DDR5,16,512,NVMe,14,IPS,1920x1080,FHD,1.4,41,1,2,1,Wi-Fi 6e,v5.3,720p,win 11 pro,Dell Latitude 5450 14'' FHD IPS,Dell Latitude 5450 14''
public,2064359,748,AMD Ryzen 7-5825U,8,16,18103,DDR4,16,1024,NVMe,15.6,IPS,1920x1080,FHD,1.59,41,2,1,1,Wi-Fi 6,v5.4,720p,win 11 home,"HP 15-fc0071nv 15.6"" FHD IPS + Microsoft Office 365 Personal","HP 15-fc0071nv 15.6"""
public,2023578,1355,Qualcomm Snapdragon X Plus,10,10,21605,LPDDR5x,16,512,NVMe,13,LCD,2880x1920,FHD+,0.895,48,2,0,0,Wi-Fi 7,v5.4,1440p,win 11 home,"Microsoft Surface Pro Copilot+ PC 13"" LCD","Microsoft Surface Pro 13"""
public,2032851,1199,Qualcomm Snapdragon X Plus,8,8,21605,LPDDR5x,16,256,UFS,13,Pixelsense,1920x1280,FHD+,1.22,23,2,2,0,Wi-Fi 7,v5.4,1080p,win 11 home,"Microsoft Surface Laptop Copilot+ PC 13"" PixelSense","Microsoft Surface Laptop 13"""
public,2032854,1209,Qualcomm Snapdragon X Plus,8,8,21605,LPDDR5x,16,512,UFS,12,Pixelsense,1920x1280,FHD+,0.686,16,2,2,0,Wi-Fi 7,v5.4,1080p,win 11 home,"Microsoft Surface Pro Copilot+ PC 12"" PixelSense","Microsoft Surface Pro 12"""
public,2032954,829,Intel Core Ultra 5-226V,8,8,18490,LPDDR5x,16,512,NVMe,14,OLED,1920x1200,FHD+,1.4,65,2,2,1,Wi-Fi 6,v5.3,1080p,win 11 home,"Acer Aspire 14 AI A14-52M-52A4 Copilot+ PC 14"" FHD OLED","Acer Aspire 14 AI A14-52M-52A4 14"""
public,1973700,1199,Intel Core i9-13900H,14,20,27596,DDR5,16,1024,NVMe,15.6,IPS,1920x1080,FHD,2.11,57,3,1,1,Wi-Fi 6,v5.1,1080p,win 11 home,Acer Nitro V 15 ANV15-51-94CA 15.6'' FHD IPS,Acer Nitro V 15 ANV15-51-94CA 15.6''
public,1973698,799,Intel Core i7-1255U,10,12,13206,DDR4,32,1024,NVMe,15.6,IPS,1920x1080,FHD,1.78,50,3,0,1,Wi-Fi 6,v5,1080p,win 11 home,Acer Aspire 3 A315-59-71N4 15.6'' FHD TN,Acer Aspire 3 A315-59-71N4 15.6''
